Region_name Time_period Cluseter_id Lon(deg) Lat(deg) Depth(km) Magnitude Year Month Day Hour Minute Second
KURILE1 1995-1999 cluster_1 151.63901 45.26200 43.2 4.8 1996 10 29 16 38 43.0800
KURILE1 1995-1999 cluster_1 151.74101 45.44700 44.4 5. 1996 10 30 4 43 21.8700
KURILE1 1995-1999 cluster_1 151.69601 45.33500 45.9 5.2 1996 10 30 4 45 26.3400
KURILE1 1995-1999 cluster_1 151.62601 45.37800 43.5 4.9 1996 10 30 7 7 32.6900
KURILE1 1995-1999 cluster_1 151.83501 45.75400 33 4.5 1996 11 1 17 17 47.2600
KURILE1 1995-1999 cluster_2 151.46501 45.43000 33 4.8 1996 9 29 11 45 26.6600
KURILE1 1995-1999 cluster_2 151.82800 45.53300 33 5.5 1996 9 30 11 27 51.9400
KURILE1 1995-1999 cluster_2 151.73901 45.46300 33 4.9 1996 9 30 11 45 47.1400
KURILE1 1995-1999 cluster_2 151.77901 45.48000 33 4.6 1996 9 30 16 37 20.6200
KURILE1 1995-1999 cluster_2 151.81100 45.53700 33 5.5 1996 9 30 18 52 3.5700
KURILE1 1995-1999 cluster_2 151.78801 45.47500 50.2 5.2 1996 10 1 0 25 41.7500
KURILE1 1995-1999 cluster_2 151.69901 45.50900 33 4.8 1996 10 1 2 40 14.5000
KURILE1 1995-1999 cluster_2 151.16801 45.13300 33 6. 1996 10 2 11 24 48.4200
KURILE1 1995-1999 cluster_3 153.39500 46.51000 33 4.8 1997 3 13 16 55 0.4100
KURILE1 1995-1999 cluster_3 153.06601 46.00300 33 5. 1997 4 25 2 50 58.4200
KURILE1 1995-1999 cluster_3 153.04601 46.05400 33 4.5 1997 4 25 2 55 27.9200
KURILE1 1995-1999 cluster_3 153.10800 46.15400 33 5.5 1997 4 25 5 37 40.1900
KURILE1 1995-1999 cluster_3 152.81801 46.21400 33 5. 1997 4 25 5 41 47.1300
KURILE1 1995-1999 cluster_3 152.97401 46.16300 33 5. 1997 4 25 5 51 4.0700
KURILE1 1995-1999 cluster_3 153.04601 46.20000 33 4.6 1997 4 25 6 6 43.5500
KURILE1 1995-1999 cluster_3 153.00801 46.20900 33 4.7 1997 4 26 17 43 20.9900
KURILE1 1995-1999 cluster_3 153.13501 46.15000 33 5.1 1997 4 27 14 9 8.8100
KURILE1 1995-1999 cluster_3 153.20300 46.10100 33 5.2 1997 4 27 14 14 46.6200
KURILE2 1995-1999 cluster_1 150.25500 44.93100 33 4.6 1995 12 1 21 20 25.7100
KURILE2 1995-1999 cluster_1 150.20801 44.76100 33 5.7 1995 12 3 18 13 2.2900
KURILE2 1995-1999 cluster_1 150.67401 44.95600 33 6.4 1995 12 3 18 14 28.4000
KURILE2 1995-1999 cluster_1 150.69000 44.93100 33 5.4 1995 12 3 18 19 9.6700
KURILE2 1995-1999 cluster_1 150.06100 44.73500 33 5.6 1995 12 3 18 19 55.4700
KURILE2 1995-1999 cluster_1 150.01501 44.54100 33 5.9 1995 12 3 18 22 41.9100
KURILE2 1995-1999 cluster_1 150.30101 44.66900 33 5.6 1995 12 3 18 26 45.1800
KURILE2 1995-1999 cluster_1 150.08101 44.98900 33 5.2 1995 12 3 18 29 37.1500
KURILE2 1995-1999 cluster_1 150.19400 44.88500 33 4.9 1995 12 3 18 36 39.6900
KURILE2 1995-1999 cluster_1 150.41701 44.72100 33 5. 1995 12 3 18 42 3.0700
HOKKAIDO 1995-1999 cluster_1 144.63901 41.96100 33 4.5 1997 2 11 17 6 41.0600
HOKKAIDO 1995-1999 cluster_1 144.61401 41.65700 33 4.6 1997 6 28 3 15 9.2800
HOKKAIDO 1995-1999 cluster_1 144.81500 41.91100 33 5.9 1997 10 8 21 20 59.7800
HOKKAIDO 1995-1999 cluster_1 144.44101 42.13100 33 5.4 1997 10 9 3 29 10.7000
HOKKAIDO 1995-1999 cluster_1 144.74901 41.91700 33 5.5 1997 10 9 4 0 50.4600
HOKKAIDO 1995-1999 cluster_1 144.83301 41.94700 33 5.3 1997 10 11 19 39 44.5300
HOKKAIDO 1995-1999 cluster_2 146.13200 43.36900 33 4.5 1995 3 6 8 27 52.8900
HOKKAIDO 1995-1999 cluster_2 146.25101 43.39000 82 4.7 1995 4 3 0 25 7.4500
HOKKAIDO 1995-1999 cluster_2 146.20300 42.90600 33 4.6 1995 4 20 6 51 6.6500
HOKKAIDO 1995-1999 cluster_2 146.30301 42.69900 33 4.7 1995 5 4 3 44 30.4700
HOKKAIDO 1995-1999 cluster_2 146.24600 43.43500 77.3 4.7 1995 5 9 14 39 15.4200
HOKKAIDO 1995-1999 cluster_2 146.63101 43.17100 39.1 4.9 1995 5 26 21 40 10.1600
HOKKAIDO 1995-1999 cluster_2 146.90800 43.34100 54.1 5.1 1995 5 30 16 15 33.9200
